LFDNR,KITA_ID,E_NAME,ADRESSE,RECHTSWERT,HOCHWERT,HOMEPAGE,BEZIRK
26,90,St. Thomas Morus,Thomas-Morus-Weg 15,406741,5759051,http://sankt-franziskus-muenster.de/st-thomas-morus-gemeinde-in-rumphorst/kindergarten/,Rumphorst
74,23,Am Gievenbach,Toppheideweg 21,401718,5759177,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Gievenbeck
448,151,Hensenstraße,Hensenstraße 192,401789,5759132,http://www.outlaw-ggmbh.de/,Gievenbeck
81,157,Tausendfüssler,Kardinal-von-Galen-Ring 20,403944,5757265,https://www.stw-muenster.de/de/kinder/tausendfuessler/info/,Sentrup
113,42,Die Knirpse,Im Münsteresch 2,404507,5759417,http://www.kita-dieknirpse.de,Uppenberg
71,99,St. Michael III,Gronowskistraße 70,401507,5758488,http://www.liebfrauen-ueberwasser.de/kitas.html,Gievenbeck
77,128,Lichtblick,Ahausweg 37,401546,5758268,http://www.ev-jugendhilfe.de,Gievenbeck
32,87,Epiphanias (Dep.),Pötterhoek 49,407539,5758837,http://www.ev-kirchenkreis-muenster.de/arbeitsfelder/bildung-und-erziehung/kitas/einrichtungen/stadt-muenster/muenster-mitte/kita-epiphanias/,Mauritz-Mitte
763,87,Epiphanias,Pötterhoek 6,407348,5758675,http://www.ev-kirchenkreis-muenster.de/arbeitsfelder/bildung-und-erziehung/kitas/einrichtungen/stadt-muenster/muenster-mitte/kita-epiphanias/,Mauritz-Mitte
114,31,Krullys,Hagelbachstiege 324,403147,5763416,http://www.krullys.de/,Nienberge
97,32,Kindertraum,Langenhorster Stiege 238,402553,5764405,https://kitakindertraum.wordpress.com/,Nienberge
101,162,Holtmannshof,Holtmannsweg 1,406009,5761467,http://kita-holtmannshof.de/,Coerde
98,36,St. Norbert,Schneidemühler Straße 27,407266,5761405,http://www.kita-st-norbert.de/,Coerde
765,154,Auf dem Dorn (Dep.),Auf dem Dorn 14,399035,5757069,http://www.cvjmmuenster.de/,Roxel
92,28,St. Pantaleon,Pantaleonstraße 2,399174,5756950,https://www.kirche-mswest.de/kita-st-pantaleon/,Roxel
303,154,Anne-Jakobi-Haus,Im Seihof 16,399375,5757166,http://www.cvjmmuenster.de/,Roxel
83,103,St. Anna,Dingbängerweg 59,402370,5754243,https://www.kirche-mswest.de/kita-st-anna/,Mecklenbeck
106,43,Markus-Kindergarten,Rektoratsweg 76,404472,5761035,http://www.ev-kirchenkreis-muenster.de/arbeitsfelder/bildung-und-erziehung/kitas/einrichtungen/stadt-muenster/muenster-nord/markus-kiga/,Uppenberg
451,367,Grünschleife,Carlo-Schmid-Weg 2,403570,5761707,https://muensterland.asbnrw.de/,Kinderhaus-West
109,108,Kinderhaus,Von-Humboldt-Straße 1,404091,5761672,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Kinderhaus
345,272,Kinderbachtal,Idenbrockplatz 8,404134,5761481,https://www.outlaw-jugendhilfe.de/,Kinderhaus
119,111,St. Marien,Im Draum 42,404881,5766211,http://www.kiga-st-marien-sprakel.de,Sprakel
347,222,Die Wersepiraten,Gildenstraße 2p,411057,5759567,http://www.regenbogenkita.de/,Handorf
95,34,St. Sebastian,Kirmstraße 16,401115,5761719,http://www.liebfrauen-ueberwasser.de/kitas.html,Nienberge
129,113,Waldkindergarten Münster,Dyckburgstraße 228a,409427,5760334,http://www.waldkindergarten-muenster.de/,Gelmer/Dyckburg
145,137,Am Schulzentrum,Von-Holte-Straße 52,411982,5752240,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Wolbeck
601,418,Alfred-Bernstein-Kita,Petersheide 37,412390,5751964,-,Wolbeck
149,49,Angelstrolche,Zumbuschstraße 10,412018,5751839,https://angelstrolche.habanunu.de/willkommen,Wolbeck
308,135,Normannenweg,Normannenweg 2,408518,5752917,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Gremmendorf
134,118,St. Ida,Nachtigallenweg 19,408644,5754340,http://kita-ida.st-nikolaus-muenster.de/,Gremmendorf
